Year,importer,exporter,total_import
2023,Papua New Guinea,SIDS (Small island developing States) (UN-OHRLLS),7502787.016
2023,Paraguay,China,62966283.473
2023,Paraguay,Brazil,44795168.433
2023,Paraguay,United States of America,13082529.148
2023,Peru,United States of America,126736460.598
2023,Peru,China,92096725.479
2023,Peru,Argentina,38545358.526
2023,Philippines,China,343771765.914
2023,Philippines,Indonesia,133742024.957
2023,Philippines,Japan,125862200.078
2023,Poland,Germany,795584831.169
2023,Poland,China,477390227.937
2023,Poland,Italy,194558260.379
2023,Portugal,Spain,437450473.535
2023,Portugal,Germany,152525062.964
2023,Portugal,France,91748883.84
2023,Qatar,China,38310184.404
2023,Qatar,United States of America,36495537.475
2023,Qatar,United Kingdom,33404930.859
2023,South Korea,China,1646837746.483
2023,South Korea,United States of America,793142801.222
2023,South Korea,Japan,545345374.913
2023,Moldova,Romania,12892034.1
2023,Moldova,China,11636767.344
2023,Moldova,Ukraine,11607806.129
2023,Romania,Germany,296742586.975
2023,Romania,Italy,127596301.702
2023,Romania,Hungary,97955665.354
2023,Russia,China,1229293868.76
2023,Russia,Belarus,248240513.554
2023,Russia,Germany,220010693.051
2023,Rwanda,China,7609429.768
2023,Rwanda,United Arab Emirates,4653335.891
2023,Rwanda,Kenya,4204442.666
2023,SIDS (Small island developing States) (UN-OHRLLS),China,906386747.361
2023,SIDS (Small island developing States) (UN-OHRLLS),United States of America,827619806.284
2023,SIDS (Small island developing States) (UN-OHRLLS),Taiwan,580100659.233
2023,SIDS: Pacific,China,782748607.012
2023,SIDS: Pacific,Taiwan,576165572.443
2023,SIDS: Pacific,Malaysia,543848254.249
2023,Saint Helena,United Kingdom,168388.023
2023,Saint Helena,Greece,99514.651
2023,Saint Helena,South Africa,72489.579
2023,Saint Lucia,United States of America,4112547.292
2023,Saint Lucia,Colombia,1827126.675
2023,Saint Lucia,SIDS (Small island developing States) (UN-OHRLLS),1208095.33
2023,Samoa,SIDS: Pacific,1320766.29
2023,Samoa,SIDS (Small island developing States) (UN-OHRLLS),1320766.29
2023,Samoa,New Zealand,1083416.519
2023,Saudi Arabia,China,496613027.363
2023,Saudi Arabia,United Arab Emirates,190335660.232
2023,Saudi Arabia,United States of America,189639722.898
2023,Senegal,China,26281219.485
2023,Senegal,Russia,11337286.38
2023,Senegal,France,10295749.694
2023,Serbia,Germany,51359809.904
2023,Serbia,China,48196034.453
2023,Serbia,Italy,29571585.853
2023,Seychelles,United Arab Emirates,2995526.56
2023,Seychelles,Italy,2449358.809
2023,Seychelles,Netherlands,1745347.285
2023,Sierra Leone,China,5401315.991
2023,Sierra Leone,India,2539475.054
2023,Sierra Leone,United Arab Emirates,1269288.47
2023,Singapore,China,749139777.749
2023,Singapore,Taiwan,572637248.3100001
2023,Singapore,Malaysia,535268040.218
2023,Sint Maarten,United States of America,9916092.28
2023,Sint Maarten,Netherlands,1072761.232
2023,Sint Maarten,France,462405.146
2023,Slovakia,Germany,194105851.494
2023,Slovakia,Czechia,134589287.898
2023,Slovakia,China,98446814.25
2023,Slovenia,Switzerland,114741375.109
2023,Slovenia,China,108215131.695
2023,Slovenia,Germany,75869515.98
2023,Somalia,United Arab Emirates,19313519.636
2023,Somalia,China,8297967.81
2023,Somalia,India,7097006.582
2023,South Africa,China,248288494.477
2023,South Africa,United States of America,97544737.361
2023,South Africa,India,78979407.182
2023,S. Sudan,United Arab Emirates,4398638.707
2023,S. Sudan,Uganda,4230127.587
2023,S. Sudan,Kenya,1516591.845
2023,Spain,Germany,572929767.0600001
2023,Spain,China,540121821.93
2023,Spain,France,475454007.27
2023,Sri Lanka,China,38091157.753
2023,Sri Lanka,India,37827048.657
2023,Sri Lanka,United Arab Emirates,15712533.248
2023,State of Palestine,Israel,55180612.791
2023,State of Palestine,Turkey,6165250.254
2023,State of Palestine,China,4976737.083
2023,Sudan,Taiwan,14863187.553
2023,Sudan,Macao,14607834.557
2023,Sudan,United Arab Emirates,8744037.446
2023,Sudan (...2011),Zimbabwe,
2023,Sudan (...2011),Zambia,
2023,Sudan (...2011),Yemen,
2023,Suriname,United States of America,4826902.967
2023,Suriname,SIDS (Small island developing States) (UN-OHRLLS),2917683.008
2023,Suriname,China,2731794.825
2023,Sweden,Germany,355706178.661
2023,Sweden,Netherlands,229382107.093
2023,Sweden,Norway,216738305.096
2023,Switzerland,Germany,736442107.986
2023,Switzerland,United States of America,350256324.945
2023,Switzerland,Italy,316597417.252
2023,Syria,Turkey,14166767.115
2023,Syria,China,7240784.055
2023,Syria,Russia,6535064.119
2023,Tajikistan,China,23309221.685
2023,Tajikistan,Russia,11576778.848
2023,Tajikistan,Kazakhstan,9219606.339
2023,Thailand,China,846634927.174
2023,Thailand,Japan,371307516.771
