iso3c,country,year,gdp,gdp_forc20,gap_dollars,gap_relative
SUR,Suriname,2020,84.02480361,102.5,-971107575,-18.025
SWE,Sweden,2020,97.82978682,101.462,-19970681063,-3.58
CHE,Switzerland,2020,97.62443672,101.26,-27161648925,-3.59
SYR,Syrian Arab Republic,2020,96.12631831,,,
TJK,Tajikistan,2020,104.4000497,105.5,-120374628,-1.04
TZA,Tanzania,2020,101.9963435,105.8,-2294310437,-3.59513846
THA,Thailand,2020,93.80451084,102.7,-40953068454,-8.66
TLS,Timor-Leste,2020,131.9144872,104.6,535393638,26.11
TGO,Togo,2020,101.752825,105.5,-191041301,-4
TON,Tonga,2020,100.4886453,103.682,-15512159,-3.08
TTO,Trinidad and Tobago,2020,92.32166884,101.492,-2171119887,-9.04
TUN,Tunisia,2020,91.37886451,102.2,-5333404007,-10.5882
TUR,Turkey,2020,101.9400322,103,-10561406374,-1.03
TKM,Turkmenistan,2020,83.17496198,105.2,-10067650558,-20.9
TCA,Turks and Caicos Islands,2020,73.21712307,,,
TUV,Tuvalu,2020,101.5151515,104.38,-1313273,-2.74
UGA,Uganda,2020,102.9513064,106.5,-1405284332,-3.332
UKR,Ukraine,2020,96.2471959,103.7,-7597694769,-7.187
ARE,United Arab Emirates,2020,95.04294756,102.6,-30480331567,-7.37
GBR,United Kingdom,2020,88.96914154,101.448,-3.96099E+11,-12.301
USA,United States,2020,97.23219749,101.8,-9.10316E+11,-4.49
URY,Uruguay,2020,93.87852372,102.5,-4786069818,-8.411
UZB,Uzbekistan,2020,101.8862453,105.7,-4048736761,-3.61
VUT,Vanuatu,2020,94.60374579,103.1,-73424554,-8.24
VNM,Vietnam,2020,102.8654119,106.5,-11447049967,-3.413
VIR,Virgin Islands (U.S.),2020,97.85299318,,,
PSE,Palestine,2020,88.68153389,102.5,-2187325000,-13.5
YEM,Yemen,2020,100,101.984,-729896602,-1.9
ZMB,Zambia,2020,97.21494493,102.6,-1297252315,-5.249
ZWE,Zimbabwe,2020,92.18304935,102.7,-2168708665,-10.24
AFG,Afghanistan,2021,77.39930488,106.605,-6446280966,-27.4
ALB,Albania,2021,104.7373925,107.1224,-309280452,-2.23
DZA,Algeria,2021,98.2215,104.1418,-10499983525,-5.685
ASM,American Samoa,2021,103.1045752,,,
AND,Andorra,2021,96.76458051,,,
AGO,Angola,2021,95.4384,103.936,-7064797155,-8.1758
ATG,Antigua and Barbuda,2021,84.01416894,105.914349,-357020205,-20.7
ARG,Argentina,2021,99.42109194,100.0818,-3775621102,-1
ARM,Armenia,2021,98.0896,110.5652,-1605297292,-11.28
ABW,Aruba,2021,95.39119399,102.111,-227189178,-6.581
AUS,Australia,2021,102.1841892,104.9034307,-40565076458,-2.59
AUT,Austria,2021,97.80878473,103.27635,-22647877215,-5.29
AZE,Azerbaijan,2021,101.0592356,104.4483,-1816963005,-3.245
BHS,Bahamas,2021,86.62872874,101.5322974,-1874089006,-14.68
BHR,Bahrain,2021,97.17965615,104.5504,-2578672806,-7.05
BGD,Bangladesh,2021,110.6259435,115.0256,-11345329370,-3.82
BRB,Barbados,2021,86.52489976,102.109,-749621879,-15.3
BLR,Belarus,2021,101.5841817,101.4045,106036394,0.177
BEL,Belgium,2021,100.4436191,102.621965,-10786246106,-2.12
BLZ,Belize,2021,99.7824195,103.9378,-95512248,-4
BEN,Benin,2021,111.2796425,113.8489,-364315761,-2.26
BMU,Bermuda,2021,98.2054036,,,
BTN,Bhutan,2021,93.66876119,113.6256,-493122413,-17.6
BOL,Bolivia,2021,96.83440167,106.296,-3613690016,-8.9
BIH,Bosnia and Herzegovina,2021,104.1909317,107.4326,-596611190,-3.017397228
BWA,Botswana,2021,101.6514187,108.4722,-1105765324,-6.29
BRA,Brazil,2021,100.5615729,104.55,-72576826335,-3.814851388
BRN,Brunei,2021,99.52477841,108.4660369,-1187295101,-8.24
BGR,Bulgaria,2021,103.3737703,106.193,-1619485992,-2.655
BFA,Burkina Faso,2021,108.9699814,112.36,-508558015,-3.02
BDI,Burundi,2021,102.1283303,104.142,-64595230,-1.934
CPV,Cape Verde,2021,91.14123504,110.25,-365956502,-17.33
KHM,Cambodia,2021,99.83668541,114.0624,-3380038588,-12.47
CMR,Cameroon,2021,103.9193371,108.6806,-1785571975,-4
CAN,Canada,2021,99.07023727,103.5479232,-75948854769,-4.324
CYM,Cayman Islands,2021,96.05073786,,,
CAF,Central African Republic,2021,101.8081,110.1786115,-166314474,-7.6
TCD,Chad,2021,97.21920267,110.564,-1404681009,-12.1
CHL,Chile,2021,104.992448,105.575,-1526756662,-0.55
CHN,China,2021,110.5311296,112.0422,-2.16028E+11,-1.349
COL,Colombia,2021,102.8763298,107.6404,-15311434687,-4.43
COM,Comoros,2021,101.9125082,108.6776,-73931885,-6.224918284
COD,Democratic Republic of the Congo,2021,108.0431757,107.4326,271630810,0.57
COG,Republic of the Congo,2021,91.69794296,106.5874,-1436444696,-13.97
CRI,Costa Rica,2021,103.2216159,105.575,-1515167298,-2
CIV,Côte d'Ivoire,2021,109.1560498,114.597,-3257039249,-4.748
HRV,Croatia,2021,103.3702219,105.0624,-968025391,-1.61
CUB,Cuba,2021,90.16844953,,,
CUW,Curaçao,2021,85.01354204,,,
CYP,Cyprus,2021,101.9761674,105.6752412,-925215578,-3.5
CZE,Czech Republic,2021,97.846218,105.3322458,-16142896409,-7.107
DNK,Denmark,2021,102.7642477,103.6608232,-2982032728,-0.865
DJI,Djibouti,2021,106.0723465,116.1,-303710611,-8.6
DMA,Dominica,2021,88.96748633,109.3118389,-115326922,-18.6
DOM,Dominican Republic,2021,104.7270437,110.25,-4931303583,-5
ECU,Ecuador,2021,96.11781942,101.0016,-4966909370,-4.84
EGY,Egypt,2021,107.0151653,112.148,-20430603437,-4.58
SLV,El Salvador,2021,101.2607653,105.0625,-980078646,-3.619
GNQ,Equatorial Guinea,2021,94.853234,98.677,-384339212,-3.88
EST,Estonia,2021,107.4183074,105.7812,440310815,1.55
SWZ,Eswatini,2021,106.2007124,105.165,45621435,0.985
ETH,Ethiopia,2021,112.038428,113.1032,-954461829,-0.941
FRO,Faroe Islands,2021,100,,,
